label	synonyms	chebi	vmh	kind
ammonia	ammonium|NH3|NH4|plasma ammonia|blood ammonia	CHEBI:16134	nh4	metabolite
L-glutamine	glutamine|Gln	CHEBI:18050	gln_L	metabolite
glycine	Gly	CHEBI:15428	gly	metabolite
L-alanine	alanine|Ala	CHEBI:16977	ala_L	metabolite
L-leucine	leucine|Leu	CHEBI:15603	leu_L	metabolite
L-isoleucine	isoleucine|Ile	CHEBI:17191	ile_L	metabolite
L-valine	valine|Val	CHEBI:16414	val_L	metabolite
L-alloisoleucine	alloisoleucine|allo-isoleucine			metabolite
L-phenylalanine	phenylalanine|Phe	CHEBI:17295	phe_L	metabolite
L-tyrosine	tyrosine|Tyr	CHEBI:17895	tyr_L	metabolite
L-methionine	methionine|Met	CHEBI:16643	met_L	metabolite
L-citrulline	citrulline|Cit	CHEBI:16349	citr_L	metabolite
L-arginine	arginine|Arg	CHEBI:16467	arg_L	metabolite
L-ornithine	ornithine|Orn	CHEBI:15729	orn	metabolite
L-lysine	lysine|Lys	CHEBI:18019	lys_L	metabolite
L-proline	proline|Pro	CHEBI:17203	pro_L	metabolite
L-serine	serine|Ser	CHEBI:17115	ser_L	metabolite
L-threonine	threonine|Thr	CHEBI:16857	thr_L	metabolite
L-histidine	histidine|His	CHEBI:15971	his_L	metabolite
L-tryptophan	tryptophan|Trp	CHEBI:16828	trp_L	metabolite
L-glutamate	glutamate|glutamic acid|Glu	CHEBI:16015	glu_L	metabolite
L-aspartate	aspartate|aspartic acid|Asp	CHEBI:17053	asp_L	metabolite
L-cystine	cystine	CHEBI:16283	Lcystin	metabolite
homocysteine	total homocysteine|tHcy|Hcy|plasma homocysteine	CHEBI:17588	hcys_L	metabolite
argininosuccinic acid	argininosuccinate|ASA			metabolite
orotic acid	orotate|urinary orotic acid|urine orotic acid	CHEBI:16742	orot	metabolite
methylmalonic acid	methylmalonate|MMA|urinary methylmalonic acid|plasma methylmalonic acid	CHEBI:30860		metabolite
propionic acid	propionate	CHEBI:30768	ppa	metabolite
3-hydroxypropionic acid	3-hydroxypropionate|3-OH-propionate			metabolite
methylcitric acid	methylcitrate|2-methylcitrate			metabolite
lactate	lactic acid|L-lactate|plasma lactate|blood lactate|serum lactate|CSF lactate	CHEBI:24996	lac_L	metabolite
pyruvate	pyruvic acid	CHEBI:15361	pyr	metabolite
lactate/pyruvate ratio	L/P ratio|lactate to pyruvate ratio			ratio
acetoacetate	acetoacetic acid	CHEBI:13705	acac	metabolite
3-hydroxybutyrate	beta-hydroxybutyrate|β-hydroxybutyrate|3-OH-butyrate|BHB|3-hydroxybutyric acid	CHEBI:10983	bhb	metabolite
ketones	ketone bodies|urinary ketones|ketonuria			metabolite
glucose	blood glucose|plasma glucose|serum glucose|glycaemia|glycemia|D-glucose	CHEBI:17634	glc_D	metabolite
galactose	D-galactose|blood galactose	CHEBI:28260	gal	metabolite
