key	label	mondo	genes	mesh	tiab	gene_tiab	why
otc	ornithine transcarbamylase deficiency	MONDO:0010703	OTC	Ornithine Carbamoyltransferase Deficiency Disease	ornithine transcarbamylase deficiency|ornithine carbamoyltransferase deficiency|OTC deficiency|OTCD		urea cycle; X-linked with symptomatic heterozygous females; hyperammonemia at any age; gene symbol ambiguous in text (OTC = over the counter)
mma	methylmalonic acidemia	MONDO:0002012	MMUT|MMAA|MMAB|MCEE|MMADHC|MMACHC|LMBRD1|ABCD4|ACSF3|SUCLA2|CD320	Methylmalonic acidemia[Supplementary Concept]	methylmalonic acidemia|methylmalonic acidaemia|methylmalonic aciduria|cobalamin C deficiency|cblC	MMUT|MMACHC|MMAA|MMAB	organic acidemia; biochemistry-rich; nosology spans mut0/mut- and the cbl complementation groups — tests disease-vs-gene linkage
pa	propionic acidemia	MONDO:0011628	PCCA|PCCB	Propionic Acidemia	propionic acidemia|propionic acidaemia|propionic aciduria|propionyl-CoA carboxylase deficiency	PCCA|PCCB	organic acidemia; sibling disorder of MMA — tests disambiguation between closely related diseases
pku	phenylketonuria	MONDO:0009861	PAH	Phenylketonurias	phenylketonuria|hyperphenylalaninemia|hyperphenylalaninaemia|phenylalanine hydroxylase deficiency|PKU		amino acid; largest IEM literature; newborn-screening route; BH4 responsiveness; maternal PKU; gene symbol ambiguous (PAH = polycyclic aromatic hydrocarbons)
msud	maple syrup urine disease	MONDO:0009563	BCKDHA|BCKDHB|DBT|PPM1K	Maple Syrup Urine Disease	maple syrup urine disease|branched-chain ketoacid dehydrogenase deficiency|MSUD	BCKDHA|BCKDHB	amino acid; BCAA/allo-isoleucine measurements; classic vs intermediate vs intermittent forms
mcadd	medium-chain acyl-CoA dehydrogenase deficiency	MONDO:0008721	ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of[Supplementary Concept]	medium-chain acyl-CoA dehydrogenase deficiency|medium chain acyl-CoA dehydrogenase deficiency|MCAD deficiency|MCADD	ACADM	fatty acid oxidation; acylcarnitine panels (C8); newborn screening; sudden death presentations
gsd1a	glycogen storage disease type Ia	MONDO:0009287	G6PC1	Glycogen Storage Disease Type I	glycogen storage disease type I|glycogen storage disease type Ia|glycogen storage disease type 1|glycogen storage disease type 1a|von Gierke disease|glucose-6-phosphatase deficiency	G6PC1|G6PC	carbohydrate; hypoglycaemia/lactate/lipids; long-term complications (adenomas, renal); tests type I vs Ia/Ib disambiguation
gaucher	Gaucher disease	MONDO:0018150	GBA1|PSAP	Gaucher Disease	Gaucher disease|Gaucher's disease|glucocerebrosidase deficiency|acid beta-glucosidase deficiency	GBA1	lysosomal; enzyme activity + biomarkers (chitotriosidase, lyso-Gb1); ERT/SRT treatment response; types I–III
fabry	Fabry disease	MONDO:0010526	GLA	Fabry Disease	Fabry disease|Anderson-Fabry disease|alpha-galactosidase A deficiency|lyso-Gb3		lysosomal; X-linked; late-onset cardiac/renal variants; diagnostic odyssey; overlaps common disease (HCM, CKD, stroke); gene symbol ambiguous (GLA)
wilson	Wilson disease	MONDO:0010200	ATP7B	Hepatolenticular Degeneration	Wilson disease|Wilson's disease|hepatolenticular degeneration	ATP7B	copper; copper/ceruloplasmin biochemistry; heavy overlap with common hepatic/psychiatric/neurological disease — rare-vs-common contrast
